Number,Created,Resolved,Priority,Incident State,Reassignment count,Assignment group,Short description,Category,Subcategory,Country
INC7398242,2025-03-05 18:33:17,2025-03-06 02:50:56,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7398170,2025-03-05 16:34:45,2025-03-06 02:55:59,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDI_UPD8_SALDOC_TR91 delayed in P,Error Message,Error Message,Turkey
INC7397933,2025-03-05 11:45:39,2025-03-05 13:20:05,4 - Low,Autoclosed,0,EUS_SCCM,User need Ansys Application ,Error Message,Error Message,Romania
INC7397824,2025-03-05 10:28:28,2025-03-06 05:09:49,4 - Low,Closed,1,EUS_FR_00202,IN:PAK:PH: Headset Issue - Too sensitive Headset Earphone Plantronics Blackwire 3220 Series,Functionality Error,Feature/Functionality,France
INC7397798,2025-03-05 10:08:36,2025-03-10 03:00:41,4 - Low,Closed,1,Security_UAA,IN : RR : PH : Share Drive - Share Drive Access request,Coaching,Configuration,United Kingdom
INC7397748,2025-03-05 09:59:22,2025-03-07 09:31:33,4 - Low,Autoclosed,1,SAP_SECURITY,IN: RK: PH: SAP: SAP generic user -reset password and unlocking of SAP generic user.,Error Message,Error Message,Romania
INC7397705,2025-03-05 09:19:03,2025-03-11 01:00:56,4 - Low,Closed,1,SAP_PH1_PURCHASE_TO_PAY,IN: MKR: PH: SAP - Issue with SQ00 QUERY PTP-SA-Details in SAP,Error Message,Error Message,Turkey
INC7397674,2025-03-05 08:51:23,2025-03-24 09:23:37,4 - Low,Closed,2,SAP_SECURITY,IN: VB: PH: SAP - Request access to SAP PH1 transaction VK32.,Error Message,Error Message,United Kingdom
INC7397628,2025-03-05 08:30:51,2025-03-05 10:02:37,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:PAK:PH: AD account locked,Access/Lockout,Locked Account,France
INC7397599,2025-03-05 08:21:20,2025-03-05 08:33:34,4 - Low,Closed,0,SERVICEDESK_INDIA,IN: MKR: PH: Account lock - Account getting locked frequently.,Access/Lockout,Locked Account,United Kingdom
INC7397598,2025-03-05 08:20:11,2025-03-06 11:56:42,4 - Low,Autoclosed,1,APP_ENG_LIC_MAN,IN: RK: PH: NI Diadem:  Unable to start due to license not available ,Functionality Error,Slow/No Response,France
INC7397595,2025-03-05 08:16:05,2025-03-06 02:06:49,4 - Low,Closed,0,APP_ENG_LIC_MAN,solidworks standered  is newer than then the licensw version and i need to up grade the solidworks license manager and license   ,Error Message,Error Message,United Kingdom
INC7397594,2025-03-05 08:11:13,2025-03-05 08:53:37,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: SAP - Need to add new entries and change existing ones on the OB09/T030H table in SAP PN1.,No Action Required,No Action Required,Poland
INC7397525,2025-03-05 07:42:14,2025-03-10 09:43:52,4 - Low,Autoclosed,1,EUS_GLOBAL_EO,IN:HP:PH Network : Unable to connect to office network,Referral,Referral,United Kingdom
INC7397519,2025-03-05 07:34:54,2025-03-07 00:35:25,4 - Low,Autoclosed,1,EUS_SCCM,IN: VB: PH: Matlab - Matlab 2024b fails to install.,Functionality Error,Connectivity,Turkey
INC7397279,2025-03-05 06:13:44,2025-03-06 05:50:49,4 - Low,Autoclosed,0,EUS_Global_Remote_Support,ARG: EDP: BW - Bitlocker recovery key.,Encrypting/Decrypting Issues,Drive Recovery/ Decrypt/ Repair,Spain
INC7397207,2025-03-05 05:46:57,2025-03-05 05:47:19,4 - Low,Closed,0,SERVICEDESK_INDIA,IN:PAK:PH: AD account locked,Access/Lockout,Locked Account,United Kingdom
INC7397200,2025-03-05 05:05:37,2025-03-05 07:56:03,4 - Low,Closed,1,Corporate Web Applications,IN:PAK:PH: SharePoint - User needs assistance on SharePoint permissions,Error Message,Failure/Down,United Kingdom
INC7397187,2025-03-05 05:20:57,2025-03-05 05:59:01,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HP:PH Active Directory : Password Reset,Access/Lockout,Password Reset,Germany
INC7397130,2025-03-05 04:30:17,2025-03-06 07:29:20,4 - Low,Autoclosed,2,SERVICEDESK_INDIA,IN : RR : PH : AD - Frequent account locked ,Access/Lockout,Disabled/Locked,United Kingdom
INC7397046,2025-03-05 03:36:34,2025-03-05 09:47:32,4 - Low,Autoclosed,1,Corporate Web Applications,"IN: VB: PH: Share point - Reading problem on SHAREPOINT, Section: ""parts cell on plan"" user cannot see the requests made, display problem.",Functionality Error,Connectivity,France
INC7396849,2025-03-05 02:29:51,2025-03-14 08:17:22,4 - Low,Autoclosed,2,EUS_DISPATCH_GLOBAL,IN: VB: PH: Computers - Audio on user's laptop does not work.,Functionality Error,Connectivity,Germany
INC7396777,2025-03-05 01:56:35,2025-03-05 08:26:37,4 - Low,Autoclosed,0,EDI_GXS_Customer,Failed Inbound DELFOR File | S: O8030001043599UD | R: O0177A078DTSEU | Ticket 1-6457030588,Error Message,Error Message,Romania
INC7396653,2025-03-05 00:24:19,2025-03-05 01:32:07,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HMV:PH: Active Directory -  Password Reset,Access/Lockout,Password Reset,Turkey
INC7396309,2025-03-04 18:18:17,2025-03-05 02:57:09,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7396307,2025-03-04 18:18:16,2025-03-05 02:55:31,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7395918,2025-03-04 11:19:38,2025-03-04 11:33:29,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : RR : PH : AD account locked,Access/Lockout,Locked Account,United Kingdom
INC7395829,2025-03-04 10:12:11,2025-03-06 04:13:09,4 - Low,Autoclosed,1,Messaging,IN:HP:PH Outlook : Outlook Online Archive don't appear,Coaching,Configuration,France
INC7395758,2025-03-04 09:28:54,2025-03-06 08:28:34,4 - Low,Autoclosed,1,SAP_SECURITY,IN: MKR: SAP generic user  - Need to  reset password and unlock generic account.,Error Message,Error Message,Romania
INC7395757,2025-03-04 09:26:10,2025-03-06 10:13:53,4 - Low,Autoclosed,3,EUS_GB_00274,"IN : RR : PH : MS Teams - Issue with MS Teams disappearing chats, planner and tasks",Functionality Error,Break/Fix,United Kingdom
INC7395731,2025-03-04 09:16:54,2025-03-04 09:43:10,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HP:PH AD : account locked,Access/Lockout,Locked Account,France
INC7395578,2025-03-04 08:09:13,2025-03-04 10:10:47,4 - Low,Autoclosed,1,SAP_Basis Level 3,IN: VB: PH: SAP - PH1 move the file from AL11 to Archive folder.,Error Message,Error Message,Romania
INC7395569,2025-03-04 08:01:52,2025-03-04 09:38:47,4 - Low,Autoclosed,1,EUS_GB_00274,IN: MKR: PH: Laptop - Issue with Trackpad mouse pointer does not work when undocked,Functionality Error,Data Incorrect/Missing/Other,United Kingdom
INC7395555,2025-03-04 07:56:52,2025-03-04 09:04:24,4 - Low,Autoclosed,1,Security_UAA,IN : RR : PH : AD - Unable to login into services in Delphi Azure tenant using my Andrew.Edginton@delphi.com account - password expired,Access/Lockout,Password Reset Failure,United Kingdom
INC7395543,2025-03-04 07:55:34,2025-03-04 08:03:00,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,Locked out of GES,,,United Kingdom
INC7395542,2025-03-04 07:53:11,2025-03-04 08:56:45,4 - Low,Closed,1,EUS_FR_00202,IN:HP:PH Word : Issue when opening a word document,Functionality Error,Slow/No Response,France
INC7395529,2025-03-04 07:46:24,2025-03-05 05:28:30,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: VB: PH: SAP GUI 800 - Need SAP 800 install to company portal.,Error Message,Error Message,United Kingdom
INC7395499,2025-03-04 07:31:39,2025-03-14 06:55:45,4 - Low,Autoclosed,1,EUS_Intune,IN:PAK:PH: INTUNE - User needs to reset device owner in intune WARLTOFF00058,Error Message,Failure/Down,United Kingdom
INC7395440,2025-03-04 07:03:34,2025-03-04 07:15:08,4 - Low,Closed,0,SERVICEDESK_INDIA,MATLAB 2024b Installation request,,,Turkey
INC7395421,2025-03-04 06:50:59,2025-03-04 08:07:23,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: Outlook: Name not showing in outlook address book,Error Message,Error Message,United Kingdom
INC7395420,2025-03-04 07:07:20,2025-03-04 07:08:25,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: Active Directory  - Need AD Password Reset,Access/Lockout,Password Reset,United Kingdom
INC7395353,2025-03-04 06:15:29,2025-03-04 06:44:51,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,"IN: MKR: PH: MS Teams - Issue with MS Teams disappearing chats, planner and tasks. ",Coaching,Configuration,United Kingdom
INC7395330,2025-03-04 05:59:15,2025-03-04 07:21:09,4 - Low,Closed,0,SERVICEDESK_INDIA,IN: RK: PH: SAP : GRC - user locked in PN1,Training,Technical Question,France
INC7395315,2025-03-04 05:48:15,2025-03-12 12:46:55,4 - Low,Autoclosed,2,HOSTING_Oracle,IN: VB: PH: Server - URGENT bltraca nagios alert (process),Functionality Error,Connectivity,France
INC7395293,2025-03-04 05:34:30,2025-03-04 07:40:38,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: Internet - Issue with Internet connection keeps dropping,Coaching,Configuration,United Kingdom
INC7395292,2025-03-04 05:32:26,2025-03-04 05:57:19,4 - Low,Resolved,0,SERVICEDESK_INDIA,IN : RR : PH : AD - Active Directory Password Reset,Access/Lockout,Password Reset,United Kingdom
INC7395285,2025-03-04 05:30:22,2025-03-04 05:57:09,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: AD: Password reset,Access/Lockout,Password Reset,United Kingdom
INC7395284,2025-03-04 05:29:24,2025-03-12 03:03:48,4 - Low,Autoclosed,1,Security_UAA,IN:HP:PH Outlook : Unable to login to myapps for Outlook Web,Coaching,Technical Question,United Kingdom
INC7395277,2025-03-04 05:23:02,2025-03-06 01:27:10,4 - Low,Closed,2,APP_ENG_LIC_MAN,IN: VB: PH: Solid works - Issue with the solid works license manager.,Functionality Error,Connectivity,France
INC7395237,2025-03-04 05:05:19,2025-03-11 08:09:31,4 - Low,Autoclosed,1,EUS_SCCM,IN : RR : PH : Cergy - SCCM building Image issue ,Error Message,Insufficient Resources,France
INC7395188,2025-03-04 04:42:35,2025-03-12 15:14:52,4 - Low,Autoclosed,1,Corporate Web Applications,IN:HP:PH Sharepoint : Issue with share point application,Functionality Error,Slow/No Response,France
INC7395150,2025-03-04 04:18:20,2025-03-04 05:22:49,4 - Low,Autoclosed,1,EUS_RO_10304,IN: VB: PH: Teamcenter Visualisation - TC Vis Compare Issue.,Functionality Error,Connectivity,Romania
INC7395149,2025-03-04 04:17:22,2025-03-06 08:30:44,4 - Low,Autoclosed,1,SAP_SECURITY,IN:PAK:PH: SAP - User needs the role name for T-Code ZFIOS01,Error Message,Error Message,Poland
INC7395132,2025-03-04 04:12:33,2025-03-04 04:34:52,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:MKR: PH: Percipio - Issue with accessing Percipio (phinia.percipio.com) ,Coaching,Configuration,United Kingdom
INC7395075,2025-03-04 03:36:09,2025-03-12 01:44:39,4 - Low,Autoclosed,1,SAP_ORDER_FULFILLMENT,IN: RK: PH: SAP:PN1:  Error with the shipment and delivery,Error Message,Error Message,Turkey
INC7395047,2025-03-04 03:11:34,2025-03-13 04:04:53,4 - Low,Autoclosed,3,Global Network Services,"IN: VB: PH: LAN - User receiving an error ""Your connection is not private"".",Functionality Error,Connectivity,Poland
INC7395022,2025-03-04 02:56:48,2025-03-04 03:26:55,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : RR : PH : Status Check on Incident / Request - RITM5259142,Coaching,Technical Question,Poland
INC7395009,2025-03-04 02:54:30,2025-03-10 02:27:09,4 - Low,Autoclosed,1,EDI_GXS_Customer,IN : JM : PH - EDI Issue - BMW inform us that ASN send from us is not reaching BMW system.,Error Message,Error Message,Poland
INC7394949,2025-03-04 02:07:16,2025-03-04 05:20:39,4 - Low,Autoclosed,1,EUS_RO_10304,IN : JM : PH - Microsoft Teams - Teams Add-in.,Functionality Error,Data Incorrect/Missing/Other,Romania
INC7394830,2025-03-04 01:06:55,2025-03-06 03:45:15,4 - Low,Autoclosed,3,SAP_Label_Management_PH1,IN:HMV: PH: SAP - Issue with T-code LM00,Error Message,Error Message,Turkey
INC7394434,2025-03-03 18:32:47,2025-03-04 01:29:43,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7394432,2025-03-03 18:32:46,2025-03-04 01:31:16,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7394123,2025-03-03 12:44:06,2025-03-11 11:45:27,4 - Low,Closed,1,SAP_SECURITY,IN : ND : PH : SAP - Sap password reset ,Error Message,Error Message,United Kingdom
INC7394086,2025-03-03 12:01:25,2025-03-12 10:26:08,4 - Low,Closed,1,SAP_SECURITY,IN: NSH: PH: SAP PN1 -  SAP reset password failure for Mark Palmer.,Error Message,Error Message,United Kingdom
INC7393947,2025-03-03 10:29:04,2025-03-03 10:50:28,4 - Low,Closed,0,SERVICEDESK_INDIA,IN : RR : PH : AD - AD account locked,Access/Lockout,Locked Account,France
INC7393904,2025-03-03 10:13:40,2025-03-03 10:34:32,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: AD: Password reset for ipapatheodorou@phinia.com,Access/Lockout,Password Reset,United Kingdom
INC7393787,2025-03-03 09:22:27,2025-03-04 01:52:38,4 - Low,Autoclosed,1,EUS_RO_10304,IN: MKR: PH: GES - Issue with GES application.,Functionality Error,Data Incorrect/Missing/Other,Romania
INC7393779,2025-03-03 09:20:39,2025-03-04 01:54:02,4 - Low,Closed,1,EUS_RO_10304,IN: RK: Outlook: Outlook Issue,Functionality Error,Slow/No Response,Romania
INC7393778,2025-03-03 09:17:55,2025-03-04 01:55:13,4 - Low,Autoclosed,1,EUS_RO_10304,IN:HP:PH Outlook : Outlook login issue,Functionality Error,Slow/No Response,Romania
INC7393777,2025-03-03 09:16:10,2025-03-04 01:55:49,4 - Low,Autoclosed,1,EUS_RO_10304,IN : ND : PH : Onsite - Adobe Reader Issue,Error Message,Error Message,Romania
INC7393727,2025-03-03 08:52:49,2025-03-03 10:39:54,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HP:PH Active Directory : Password Reset,Access/Lockout,Password Reset,France
INC7393629,2025-03-03 08:14:13,2025-03-07 09:29:01,4 - Low,Autoclosed,1,SAP_SECURITY,IN:HP:PH SAP : Reset SAP Password and unlock,Error Message,Error Message,Romania
INC7393605,2025-03-03 07:59:18,2025-03-03 08:45:30,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,"IN : ND : PH : MFA - MFA , SMS Verification Issue",Coaching,Technical Question,Romania
INC7393599,2025-03-03 07:57:51,2025-03-03 08:04:45,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HP:PH Admin Rights : ECU Forge is asking for admin rights,Functionality Error,Slow/No Response,United Kingdom
INC7393566,2025-03-03 07:42:24,2025-03-07 05:06:39,4 - Low,Autoclosed,2,SERVICEDESK_INDIA,IN:PAK:PH: AD - Active Directory Account Disabled,Access/Lockout,Insufficient Access,Romania
INC7393559,2025-03-03 07:31:21,2025-03-03 07:54:03,4 - Low,Closed,0,SERVICEDESK_INDIA,IN : ND :PH : AD - Password Reset,Access/Lockout,Password Reset,Spain
INC7393551,2025-03-03 07:29:17,2025-03-04 01:57:20,4 - Low,Autoclosed,1,EUS_RO_10304,IN: RK: PH: Teams: MS Teams Issue,Error Message,Error Message,Romania
INC7393540,2025-03-03 07:24:52,2025-03-04 01:58:33,4 - Low,Autoclosed,1,EUS_RO_10304,IN:HP:PH Hardware : Laptop GPU Issue,Error Message,Error Message,Romania
INC7393539,2025-03-03 07:22:07,2025-03-04 01:11:07,4 - Low,Autoclosed,3,Security_UAA,IN : ND : PH :Server - PHINIA Jira Test Server (jiratest2.phinia.local - 10.165.5.13) is not reachable,Functionality Error,Not Performing As Expected,Turkey
INC7393525,2025-03-03 07:17:05,2025-03-06 05:00:10,4 - Low,Autoclosed,6,EUS_Intune,IN:PAK:PH: SAP - SAP NOT WORKING ON LAPTOP- ABAP ERROR,Error Message,Error Message,United Kingdom
INC7393507,2025-03-03 07:10:49,2025-03-04 06:33:03,4 - Low,Closed,1,EUS_FR_00202,IN: MKR: PH: Laptop - Issue with PC  freezing several times a day,Functionality Error,Data Incorrect/Missing/Other,France
INC7393387,2025-03-03 06:25:35,2025-03-03 07:58:49,4 - Low,Closed,0,SERVICEDESK_INDIA,IN: VB: PH: MFA - User facing issues with Microsoft authenticator.,Functionality Error,Connectivity,Poland
INC7393379,2025-03-03 06:23:13,2025-03-03 08:39:58,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,"IN:PAK:PH: Shared Drive -  Share Drive access issue - User's name is not showing in ""data owner's name"" list",Coaching,Technical Question,United Kingdom
INC7393331,2025-03-03 06:06:50,2025-03-10 09:23:54,4 - Low,Closed,5,EUS_FR_00202,IN : RR : PH : AD - xlale account regularly locked,Access/Lockout,Disabled/Locked,France
INC7393301,2025-03-03 05:57:05,2025-03-03 07:50:37,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: Shared email: New Shared mailbox address creation,Coaching,Configuration,Romania
INC7393260,2025-03-03 05:28:06,2025-03-03 06:20:02,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HP:PH Active Directory : Password Reset,Access/Lockout,Password Reset,Turkey
INC7393243,2025-03-03 05:26:46,2025-03-03 05:34:28,4 - Low,Closed,0,SERVICEDESK_INDIA,IN : RR : PH : AD - Active Directory Password Reset,Access/Lockout,Password Reset,United Kingdom
INC7393231,2025-03-03 05:04:01,2025-03-14 09:34:52,4 - Low,Autoclosed,4,SAP_PURCHASE_TO_PAY,IN: AL: PH - SAP: sap pn1 - bug release on VSA 0550537280 due to activity flag in NAST table - Remove the flag ,Error Message,Error Message,France
INC7393198,2025-03-03 04:48:39,2025-03-03 04:50:01,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH:AD: Account locked,Access/Lockout,Locked Account,France
INC7393134,2025-03-03 04:04:47,2025-03-13 05:06:00,4 - Low,Autoclosed,2,Global Network Services,IN: RK: PH: Truck: Truck software does not perform version update check,Error Message,Error Message,Romania
INC7393121,2025-03-03 04:01:21,2025-03-03 04:48:13,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HP:PH Active Directory : Password Reset,Access/Lockout,Password Reset,France
INC7393120,2025-03-03 03:58:35,2025-03-10 05:59:54,4 - Low,Autoclosed,3,SAP_BASIS_Internal_L1-L2-L3,"IN: VB: PH: SAP - SAP connection issue, user password blocked.",Error Message,Error Message,France
INC7393114,2025-03-03 04:13:14,2025-03-03 04:33:16,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : RR : PH : Bit locker issue - Recovery key prompted upon reboot,Recovery key prompted upon reboot,Key recovery process,France
INC7393084,2025-03-03 03:17:35,2025-03-04 01:52:19,4 - Low,Closed,1,APP_ENG_LIC_MAN,IN: AL:PH - Diadem: DIadem not working,Functionality Error,Slow/No Response,Romania
INC7393083,2025-03-03 03:11:09,2025-03-03 04:39:43,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : AK : PH- AD : Active Directory Password Reset,Access/Lockout,Password Reset,France
INC7393024,2025-03-03 02:47:53,2025-03-03 03:11:21,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN :JM : PH - Active Directory Password Reset - Successful Password Reset.,Access/Lockout,Password Reset,France
INC7393018,2025-03-03 02:53:59,2025-03-03 03:32:00,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:RS:PH:Active Directory Account Disabled,Access/Lockout,Account Disabled,Poland
INC7392980,2025-03-03 02:33:43,2025-03-04 06:46:35,4 - Low,Autoclosed,1,Security_UAA,IN: VB: PH: Password reset - User facing issue with login to @delphi account.,Access/Lockout,Insufficient Access,Poland
INC7392895,2025-03-03 01:34:10,2025-03-07 08:05:59,4 - Low,Autoclosed,1,Security_UAA,"IN: AL: PH - Network Drive:  Problems connecting to partitions ""x"" and ""w""",Error Message,Error Message,Romania
INC7392339,2025-03-02 18:18:33,2025-03-03 00:43:52,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7392337,2025-03-02 18:18:32,2025-03-04 00:31:36,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7391238,2025-03-01 18:19:08,2025-03-03 00:42:35,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7391112,2025-03-01 16:49:09,2025-03-03 02:25:25,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDI_UPD8_SALDOC_TR91 delayed in P,Error Message,Error Message,Turkey
INC7391110,2025-03-01 16:49:08,2025-03-03 02:13:53,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDI_UPD8_SALDOC_TR91 delayed in P,Error Message,Error Message,Turkey
INC7389733,2025-02-28 21:37:06,2025-03-03 00:05:25,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job OTC:VF31_ZRD7_PL_INVOICE_2210 delayed,Error Message,Error Message,United Kingdom
INC7389731,2025-02-28 21:37:05,2025-03-03 00:07:10,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job OTC:VF31_ZRD7_PL_INVOICE_2210 delayed,Error Message,Error Message,United Kingdom
INC7389468,2025-02-28 18:19:52,2025-03-03 00:44:53,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7389466,2025-02-28 18:19:51,2025-03-03 00:50:05,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7389347,2025-02-28 16:50:39,2025-03-04 00:27:31,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDI_UPD8_SALDOC_TR91 delayed in P,Error Message,Error Message,Turkey
INC7389345,2025-02-28 16:50:38,2025-03-03 02:21:04,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDI_UPD8_SALDOC_TR91 delayed in P,Error Message,Error Message,Turkey
INC7388778,2025-02-28 10:24:57,2025-03-03 03:07:13,4 - Low,Autoclosed,3,Global Network Services,IN : AK : PH - Zscaler Remote - not able to DNS to frblop-ocs.phinia.local,Functionality Error,Break/Fix,France
INC7388715,2025-02-28 09:58:19,2025-02-28 11:19:26,4 - Low,Closed,1,APP_COMSUP_OCC,IN:HMV: PH: VW Portal -  cannot access to the VW portal,Error Message,Error Message,France
INC7388714,2025-02-28 09:57:29,2025-03-04 10:35:18,4 - Low,Autoclosed,1,SAP_PH1_PURCHASE_TO_PAY,PR 4001226183 Approval Support,Error Message,Error Message,Turkey
INC7388683,2025-02-28 09:49:26,2025-03-07 03:23:31,4 - Low,Autoclosed,1,EUS_FR_00202,IN:HMV: PH: Computers - blue screen,Error Message,Error Message,France
INC7388663,2025-02-28 09:48:08,2025-03-06 01:52:54,4 - Low,Autoclosed,1,EUS_Global_Remote_Support,Solidworks License Issue,Error Message,Error Message,France
INC7388618,2025-02-28 09:18:11,2025-03-03 06:07:11,4 - Low,Autoclosed,1,EUS_FR_00202,IN : ND : PH : Onsite - slow pc,Error Message,Error Message,France
INC7388578,2025-02-28 09:00:09,2025-03-06 07:52:12,4 - Low,Closed,1,SAP_SECURITY,"IN:HMV:PH: SAP user  - need support - route to  Gindea, Andrei",Error Message,Error Message,Romania
INC7388504,2025-02-28 07:54:17,2025-02-28 07:57:06,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:BS:PH- SAP - Need to Install SAP GUI 32 bit ,Coaching,Configuration,Poland
INC7388474,2025-02-28 07:36:25,2025-02-28 08:49:31,4 - Low,Closed,0,SERVICEDESK_INDIA,IN : ND : PH : Share Drive - After replace the PC I don't have access to share-drive location ,Coaching,Technical Question,Romania
INC7388450,2025-02-28 07:21:52,2025-03-13 01:22:03,4 - Low,Autoclosed,1,SAP_FI/CO,IN:BS:PH- SAP - SAP PN1 changing the bank account for payments outgoing from unit 5c57 in EUR currency,Error Message,Error Message,Poland
INC7388417,2025-02-28 06:56:28,2025-03-03 22:27:38,4 - Low,Autoclosed,1,SAP_PURCHASE_TO_PAY,IN:PAK:PH: SAP - User need to learn some purchasing groups corresponding to names in PN1,Error Message,Error Message,Turkey
INC7388385,2025-02-28 06:57:06,2025-02-28 08:38:06,4 - Low,Autoclosed,0,NETWORK_LAN_LEVEL2,269-TR-SWC00-L3.phinia.local Not Responding,Functionality Error,Slow/No Response,Turkey
INC7388237,2025-02-28 06:07:46,2025-03-03 00:00:59,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job OTC:SHIP_CLOSURE_2210 delayed in PH1,Error Message,Error Message,United Kingdom
INC7387983,2025-02-28 05:42:06,2025-02-28 09:03:05,4 - Low,Autoclosed,1,SAP_SECURITY,IN : ND : PH : SAP - SAP PH1 crashed,Error Message,Error Message,United Kingdom
INC7387969,2025-02-28 05:34:20,2025-02-28 08:34:04,4 - Low,Autoclosed,1,EUS_TR_00269,Language pack for office,Functionality Error,Data Incorrect/Missing/Other,Turkey
INC7387944,2025-02-28 05:30:14,2025-02-28 07:01:50,2 - High,Autoclosed,1,SAP_Basis Level 3,Major Incident-P2-INC7387944-Global-Aftermarket-Users are facing slowness issue while accessing SAP PH1 on 28th Feb'25,Error Message,Error Message,United Kingdom
INC7387856,2025-02-28 05:01:47,2025-02-28 06:00:33,4 - Low,Closed,0,SERVICEDESK_INDIA,IN : ND : PH : Teams - Changing Teams application picture disabled,Coaching,Configuration,United Kingdom
INC7387854,2025-02-28 04:58:22,2025-02-28 07:18:16,4 - Low,Autoclosed,1,Security_UAA,"IN:BS:PH- AD- SID_Metrologie account locked , please unlock urgently",Access/Lockout,Insufficient Access,France
INC7387831,2025-02-28 04:42:14,2025-02-28 05:09:03,4 - Low,Autoclosed,0,NETWORK_LAN_LEVEL2,269-TR-SWA60-L2.phinia.local Not Responding,Functionality Error,Slow/No Response,Turkey
INC7387730,2025-02-28 04:02:31,2025-02-28 05:47:57,2 - High,Autoclosed,2,HOSTING_Storage,Major Incident-P2-INC7387730-EMEA-Fuel Injection Systems-Network slowness issue at 00202 - Blois - France on 28th Feb'25,Functionality Error,Break/Fix,France
INC7387723,2025-02-28 03:55:15,2025-02-28 07:59:03,4 - Low,Autoclosed,2,Messaging,IN:HMV: PH: Outlook - Cant receive mails from mail group,Error Message,Insufficient Resources,Turkey
