number,sys_created_on,short_description,location,assignment_group,reassignment_count,opened_at,problem_id,priority,u_ci_type,u_resolved,close_code,u_complaint_or_complement,u_complaint_compliment_created,u_on_hold_reason,incident_state,u_priority_count,u_reopened,contact_type,category,u_category,cmdb_ci
INC7385816,27/02/2025 03:27,IN : RR : PH : System - Display Image Issue,10304 - Iasi - Romania,EUS_RO_10304,1,27/02/2025 03:27,,4 - Low,Laptop,27/02/2025 04:42,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,IASLTOFF00172
INC7385809,27/02/2025 03:29,IN : RR : PH : AD - account locked,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,27/02/2025 03:20,,4 - Low,Active Directory,27/02/2025 19:40,Resolved - Permanent Fix,,,Waiting For Customer Response,Closed,,FALSE,Phone,,Access/Lockout,Active Directory
INC7385716,27/02/2025 02:18,IN: NSH: PH: SAP - Lost all SAP T-code authorization for HAKARACA after change from HJV1T4 to  HAKARACA and also issue with layouts.,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SAP_SECURITY,1,27/02/2025 02:18,,4 - Low,Security PN1,10/03/2025 09:22,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,PHINfo,,Error Message,Security PN1
INC7385507,26/02/2025 23:03,RE: DT Media Rotation trizmp-bu01: Izmir - Weekending 03-03-2025 GSL 269 ,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),EUS_TR_00269,0,26/02/2025 22:53,,4 - Low,Server,03/03/2025 09:10,Resolved - Permanent Fix,,,Awaiting Resolver Response,Autoclosed,,FALSE,Email,,Tape Swap,TRIZMP-BU01
INC7384839,26/02/2025 11:48,IN: MKR: PH: Proprofs - Issue with work email not logging into website,10610 - Warwick - United Kingdom,SERVICEDESK_INDIA,0,26/02/2025 11:48,,4 - Low,Other,26/02/2025 12:25,Client Resolved,,,,Autoclosed,,FALSE,Web Request,,Referral,WARLTOFF00027
INC7384780,26/02/2025 11:13,IN:HP:PH Microsoft Teams : I cannot change my profile picture,00274 - Gillingham - United Kingdom,Global Directory Services,2,26/02/2025 11:13,,4 - Low,Microsoft Lync,10/03/2025 10:39,Resolved - Permanent Fix,,,Awaiting On-Site/Local Response,Closed,,FALSE,Web Request,,Functionality Error,GILLTOFF00318
INC7384739,26/02/2025 10:38,20028-FS-PL-SWC00-L3.phinia.local Not Responding,20028 - Technical Center Krakow,NETWORK_LAN_LEVEL2,0,26/02/2025 10:35,,4 - Low,Switch,26/02/2025 10:59,Health Check,,,,Autoclosed,,FALSE,Event,,Functionality Error,20028-FS-PL-SWA01-L2
INC7384737,26/02/2025 10:25,IN : ND : PH : Outlook - 180 days in advance,10610 - Warwick - United Kingdom,Messaging,1,26/02/2025 10:25,,4 - Low,Microsoft Outlook,03/03/2025 05:50,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Error Message,WARLTOFF12345
INC7384676,26/02/2025 09:50,IN:RS:PH:Laptop turning off,00282 - Stonehouse - United Kingdom,EUS_GB_00282,1,26/02/2025 09:50,,4 - Low,Laptop,28/02/2025 06:18,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,PHINfo,,Functionality Error,STHLTOFF00029
INC7384640,26/02/2025 09:31,IN: VB: PH: Outlook - lack of emails history from 2024.,20032 - Warsaw - Poland,Messaging,1,26/02/2025 09:31,,4 - Low,Microsoft Outlook,06/03/2025 07:09,Resolved - Permanent Fix,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Functionality Error,BLNLTOFF00017
INC7384634,26/02/2025 09:28,IN : ND : PH : Zscaler - I am not able to connect with VPN using ceene@phinia.com,10657 - Bucharest - Romania,SERVICEDESK_INDIA,0,26/02/2025 09:28,,4 - Low,VPN,26/02/2025 10:40,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Coaching,BUCLTOFF0063
INC7384623,26/02/2025 09:11,IN:RS:PH:AD-Account Locked,00202 - Blois - France,SERVICEDESK_INDIA,0,26/02/2025 09:11,,4 - Low,Active Directory,26/02/2025 09:52,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Access/Lockout,Active Directory
INC7384622,26/02/2025 09:10,IN : AK : PH- SAP : QE2 Testing issue with Special Characters in T&C's when using ZFI_PDF,10610 - Warwick - United Kingdom,SAP_FI/CO,3,26/02/2025 09:10,,4 - Low,Finance & Controlling PN1,20/03/2025 09:32,Resolved - Permanent Fix,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Error Message,Finance & Controlling PN1
INC7384621,26/02/2025 09:09,IN: VB: PH: Network drive -  Acces on G:\Packaging,10304 - Iasi - Romania,SERVICEDESK_INDIA,0,26/02/2025 09:09,,4 - Low,Drive Mapping,27/02/2025 05:35,Advice Given,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Coaching,IASLTOFF00083
INC7384620,26/02/2025 09:09,IN : ND : PH : SAP - Request to set up a monthly job in SAP PN1 to execute TCode C043 for Rzeszow plant PL55 - SAP PN1 FICO Team,00274 - Gillingham - United Kingdom,SAP_FI/CO,1,26/02/2025 09:09,,4 - Low,Finance & Controlling PN1,12/03/2025 06:43,Resolved - Permanent Fix,"Escalation:   This is a request to set up a scheduled job, not a service disruption.  

Action:  Reclassify as SRQ. Assign to SAP PN1 FICO team for scheduling.",10/03/2025 08:10,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Error Message,Finance & Controlling PN1
INC7384613,26/02/2025 09:03,IN : RS : PH : AD-Password Expired,10610 - Warwick - United Kingdom,SERVICEDESK_INDIA,0,26/02/2025 09:03,,4 - Low,Active Directory,04/03/2025 06:05,Three Strike Rule,,,Attempting to reach End User,Autoclosed,,FALSE,PHINfo,,Access/Lockout,WARLTOFF00037
INC7384582,26/02/2025 08:47,IN : ND : PH : SAP - PS2 Roles to be imported to GRC PG1 system.,10657 - Bucharest - Romania,SAP_SECURITY,1,26/02/2025 08:47,,4 - Low,Security PN1,28/02/2025 11:10,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Shoulder Tap,,Error Message,Security PN1
INC7384539,26/02/2025 08:18,IN: VB: PH: SAP - User wants to know where tax data comes from.,10682 - Krakow - Poland,SAP_ORDER_FULFILLMENT,2,26/02/2025 08:18,,4 - Low,Finance & Controlling PN1,02/03/2025 12:26,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Error Message,Finance & Controlling PN1
INC7384538,26/02/2025 08:22,Employee Onboarding - EIN not populated for new created users,10657 - Bucharest - Romania,APP_ENT_SERVICENOW,0,26/02/2025 08:16,,4 - Low,Service Now,05/03/2025 07:28,Three Strike Rule,,,Waiting For Customer Response,Autoclosed,,FALSE,Email,,Service Catalog,ServiceNow_PHINIA
INC7384472,26/02/2025 07:43,SAP ABAP issue,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),EUS_TR_00269,1,26/02/2025 07:43,,4 - Low,SAP,27/02/2025 02:29,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Error,IZMLTOFF00167
INC7384369,26/02/2025 06:19,"IN: VB: PH: EDI-Error when we try to  send the  ASN  for ship to 760069 ,sold to 113893,  partner description   000254206547900280A  FOR TEAM EDI - RADU MARIUS ",10304 - Iasi - Romania,EDI_GXS_Customer,1,26/02/2025 06:19,,4 - Low,SAP,27/02/2025 03:27,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,EDI,EDI/GXS
INC7384355,26/02/2025 05:48,IN:RS:PH:Request password for KIOSK PC GILDTSHP00011.,00274 - Gillingham - United Kingdom,EUS_GB_00274,1,26/02/2025 05:47,,4 - Low,Laptop,06/03/2025 06:09,Resolved - Permanent Fix,,,Attempting to reach End User,Autoclosed,,FALSE,Shoulder Tap,,Error Message,GILLTOFF0059
INC7384336,26/02/2025 05:28,IN:RS:PH:Phone in Occupational health not working,00274 - Gillingham - United Kingdom,EUS_GB_00274,1,26/02/2025 05:28,,4 - Low,Laptop,26/02/2025 06:36,Resolved - Permanent Fix,,,,Closed,,FALSE,Web Request,,Error Message,GILLTOFF00246
INC7384335,26/02/2025 05:26,IN:BS:PH- Network drive -Unable to access Network drive,10610 - Warwick - United Kingdom,Global Network Services,5,26/02/2025 05:26,,4 - Low,Drive Mapping,18/03/2025 07:22,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Shoulder Tap,,Functionality Error,WARLTOFF0154
INC7384307,26/02/2025 05:11,IN : AK : PH - Shared drive : Unable to access Share drive - RITM5258599,10610 - Warwick - United Kingdom,Security_UAA,1,26/02/2025 05:11,,4 - Low,Drive Mapping,07/03/2025 01:43,Three Strike Rule,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Error Message,WARLTOFF0050
INC7384300,26/02/2025 05:09,IN : ND : PH : Share Drive - I need access to folders in the G Drive at FS Gillingham,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,26/02/2025 05:09,,4 - Low,Drive Mapping,26/02/2025 07:43,Advice Given,,,,Autoclosed,,FALSE,PHINfo,,Coaching,GILLTOFF0032
INC7384299,26/02/2025 05:07,IN:RS:PH:AS400-Access to AS400 Menu,00274 - Gillingham - United Kingdom,APP_COMSUP_MFG_AS400GILLINGHAM,4,26/02/2025 05:07,,4 - Low,AS400,06/03/2025 04:20,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,PHINfo,,Error Message,AS/400 (Gillingham)
INC7384275,26/02/2025 05:01,"IN:BS:PH- SAP - SAP PN1 env , create new storage location in SAP",20015 - Borg Warner Generic - EMEA,SAP_PURCHASE_TO_PAY,2,26/02/2025 05:01,,4 - Low,Sales & Distribution PN1,02/03/2025 19:51,Referred to Service Request,,,,Autoclosed,,FALSE,Shoulder Tap,,Error Message,Material Management PN1
INC7384272,26/02/2025 04:58,IN : AK : PH- VPN : Install Zscaler,10610 - Warwick - United Kingdom,EUS_GB_10610,1,26/02/2025 04:58,,4 - Low,Laptop,26/02/2025 05:55,Workaround Provided – Confirmed,,,,Closed,,FALSE,Web Request,,Error Message,DL60PB9Y2
INC7384269,26/02/2025 04:57,IN: VB: PH: Meeting room - Meeting room no display.,10610 - Warwick - United Kingdom,EUS_GB_10610,1,26/02/2025 04:57,,4 - Low,Laptop,26/02/2025 06:22,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,WARLTOFF00080
INC7384237,26/02/2025 04:43,IN:RS:PH:Teams-Bad mic quality,10682 - Krakow - Poland,SERVICEDESK_INDIA,0,26/02/2025 04:43,,4 - Low,Microsoft Office,26/02/2025 05:55,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,DL8RWTL13
INC7384197,26/02/2025 04:28,IN:BS:PH- DSL - DSL not opening menu,00274 - Gillingham - United Kingdom,APP_ENG_CAD_FULL,1,26/02/2025 04:28,,4 - Low,DSL Online,27/02/2025 09:08,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Functionality Error,DSL Online
INC7384196,26/02/2025 04:27,IN : AK : PH- AD : User contacted for account locked issue.,00282 - Stonehouse - United Kingdom,SERVICEDESK_INDIA,0,26/02/2025 04:24,,4 - Low,Active Directory,26/02/2025 04:28,Resolved - Permanent Fix,,,,Closed,,FALSE,Phone,,Access/Lockout,Active Directory
INC7384169,26/02/2025 04:00,IN: VB: PH: SAP - Archive data for PN1.,00282 - Stonehouse - United Kingdom,SAP_BASIS_Internal_L1-L2-L3,2,26/02/2025 04:00,,4 - Low,Material Management PN1,12/03/2025 03:54,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,PHINfo,,Error Message,Material Management PN1
INC7384168,26/02/2025 03:57,IN:RS:PH:Need ADM access to ID SJUMEAU and computer BLSTOFF0400,00202 - Blois - France,SERVICEDESK_INDIA,0,26/02/2025 03:57,,4 - Low,Other application,26/02/2025 04:13,No Fault Found,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,DL4LG6453
INC7384150,26/02/2025 03:43,IN:BS:PH- AD - Problème connexion VPN,00202 - Blois - France,SERVICEDESK_INDIA,0,26/02/2025 03:43,,4 - Low,Active Directory,26/02/2025 04:33,Client Resolved,,,Attempting to reach End User,Closed,,FALSE,Web Request,,Access/Lockout,BLSLTOFF00020
INC7384077,26/02/2025 03:19,IN: SP: PH: AD account locked,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,26/02/2025 03:15,,4 - Low,Active Directory,26/02/2025 03:20,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Access/Lockout,Active Directory
INC7383988,26/02/2025 02:54,IN : RR : PH : System Update - 15 desktops in Conference room P9-Dual school that need to be updated,10304 - Iasi - Romania,EUS_RO_10304,1,26/02/2025 02:54,,4 - Low,Laptop,26/02/2025 07:40,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,DL4WQ1DT2
INC7383936,26/02/2025 02:18,IN:BS:PH- AD- xlale account often locked.,00202 - Blois - France,SERVICEDESK_INDIA,3,26/02/2025 02:18,,4 - Low,Active Directory,06/03/2025 02:49,Resolved - Permanent Fix,,,Waiting For Customer Response,Closed,,FALSE,Shoulder Tap,,Access/Lockout,BLSDTOFF0223
INC7383914,26/02/2025 02:11,"IN: SP: PH: No Copilot Button on Excel, Outlook etc.",00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,26/02/2025 02:11,,4 - Low,Microsoft Office,28/02/2025 07:01,Advice Given,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Coaching,IZMLTOFF0202
INC7383871,26/02/2025 01:53,IN : RR : PH : SAP - SAP Macros do not work,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),EUS_TR_00269,3,26/02/2025 01:53,,4 - Low,SAP,05/03/2025 01:44,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Error,SAP
INC7383865,26/02/2025 01:49,IN : JM : PH - Blois tools site - http://frblo-electronic/tools/ Identification error when trying to login.,00274 - Gillingham - United Kingdom,EUS_GB_00274,1,26/02/2025 01:49,,4 - Low,Desktop,26/02/2025 04:16,Resolved - Permanent Fix,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Functionality Error,DLJBYJ1M2
INC7383748,26/02/2025 00:31,IN: SP: PH: Teamcenter - Unable to access,00268 - Izmir - Turkey / ESBAS 3 (PT Phase 2),APP_ENG_PDM_PLM_FULL,5,26/02/2025 00:31,,4 - Low,TeamCenter User ID Registration Website,28/03/2025 02:14,Resolved - Permanent Fix,,,Awaiting Resolver Response,Autoclosed,,FALSE,Web Request,,Error Message,TeamCenter User ID Registration Website
INC7383741,26/02/2025 00:26,IN:VGM:PH: SAP-->IDOC error,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SAP_MANUFACTURING,2,26/02/2025 00:26,,4 - Low,SAP,28/02/2025 00:38,Resolved - Permanent Fix,,,Waiting For Parts,Autoclosed,,FALSE,Phone,,Error,Production Planning PN1
INC7383594,25/02/2025 21:38,OTC_JOBS Job OTC:VF31_ZRD7_OTH_INVOICE_2210 delaye,10646 - Warwick (Titan) - United Kingdom,SAP_BATCHJOBS,0,25/02/2025 21:38,,4 - Low,Sales & Distribution PH1,26/02/2025 07:19,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Event,,Error Message,SAP
INC7383592,25/02/2025 21:38,OTC_JOBS Job OTC:VF31_ZRD7_OTH_INVOICE_2210 delaye,10646 - Warwick (Titan) - United Kingdom,SAP_BATCHJOBS,0,25/02/2025 21:38,,4 - Low,Sales & Distribution PN1,26/02/2025 07:20,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Event,,Error Message,SAP
INC7383464,25/02/2025 19:14,10415-UK-SWC00-L3.phinia.local Not Responding,10415 - Hartridge - United Kingdom,NETWORK_LAN_LEVEL2,0,25/02/2025 19:12,,4 - Low,Switch,25/02/2025 20:41,Health Check,,,Awaiting On-Site/Local Response,Autoclosed,,FALSE,Event,,Functionality Error,10415-UK-SWC00-L3
INC7383403,25/02/2025 18:32,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SAP_BATCHJOBS,0,25/02/2025 18:32,,4 - Low,Sales & Distribution PN1,26/02/2025 07:11,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Event,,Error Message,SAP
INC7383401,25/02/2025 18:32,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SAP_BATCHJOBS,0,25/02/2025 18:32,,4 - Low,Sales & Distribution PN1,26/02/2025 07:14,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Event,,Error Message,SAP
INC7382952,25/02/2025 12:08,IN: MKR: PH: Laptop - Issue with Blue screen appears on my PC,20034 - Belval - Luxembourg,EUS_FR_00202,1,25/02/2025 12:08,,4 - Low,Laptop,27/02/2025 07:45,Resolved - Permanent Fix,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Functionality Error,BASLTOFF0248
INC7382937,25/02/2025 11:41,IN: MKR: PH: Laptop - Issue with dead laptop battery,10610 - Warwick - United Kingdom,EUS_GB_10610,1,25/02/2025 11:41,,4 - Low,Laptop,26/02/2025 05:12,Workaround Provided – Confirmed,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,WARLTOFF0040
INC7382936,25/02/2025 11:41,IN : AK : PH- AD : User contacted for account locked issue,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,25/02/2025 11:39,,4 - Low,Active Directory,25/02/2025 11:42,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Access/Lockout,GILDTOFF00025
INC7382917,25/02/2025 11:27,IN:HP:PH Teams: Need access for transcription,10590 - Cergy - France,Messaging,1,25/02/2025 11:27,,4 - Low,Microsoft Lync,26/02/2025 03:00,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Phone,,Functionality Error,Microsoft Exchange Online
INC7382904,25/02/2025 11:15,IN:HP:PH SAP : urgent one-time job to be run in February 2025 t-code MRNB SAP PH1 vendor 117186,10682 - Krakow - Poland,SAP_PH1_FI/CO,1,25/02/2025 11:15,,4 - Low,Finance & Controlling PH1,04/03/2025 06:44,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,Finance & Controlling PH1
INC7382865,25/02/2025 10:23,IN:RS:PH:SAP PH1 2210 - Issues with Weights on ZFD1/ZUDD billing outputs vs other reports including Intrastats.,10610 - Warwick - United Kingdom,SAP_PH1_ORDER_FULFILLMENT,1,25/02/2025 10:23,,4 - Low,Sales & Distribution PH1,12/03/2025 03:26,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,Sales & Distribution PH1
INC7382795,25/02/2025 09:54,"IN : AK : PH- GES : Can Not attached Document in GES due to Java Issue: ""applet loading, please wait.....""",00202 - Blois - France,SERVICEDESK_INDIA,0,25/02/2025 09:54,,4 - Low,GES,27/02/2025 06:05,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Coaching,GES
INC7382749,25/02/2025 09:22,IN:RS:PH:Coupures réseau quotidienne et perte d'accès à : W:\DRH\FORMATION\11. PLANS DE PREVENTION,00202 - Blois - France,EUS_FR_00202,1,25/02/2025 09:22,,4 - Low,Laptop,07/03/2025 02:03,Resolved - Permanent Fix,,,Waiting For Parts,Autoclosed,,FALSE,Web Request,,Error Message,BLSLTOFF0002
INC7382743,25/02/2025 09:19,IN : ND : PH : SAP - Need to remove the SNC from external user in PN1 landscape,10657 - Bucharest - Romania,SAP_SECURITY,1,25/02/2025 09:19,,4 - Low,Security PN1,06/03/2025 09:46,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,Security PN1
INC7382719,25/02/2025 09:05,IN: VB: PH: Bucharest Office - Intermittent network problems.,10657 - Bucharest - Romania,EUS_Intune,2,25/02/2025 09:05,,4 - Low,Microsoft Windows,19/03/2025 05:05,No Fault Found,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Operating System and Memory Related,BUCLTOFF00013
INC7382700,25/02/2025 08:41,IN:RS:PH:Phinia E mail not allowing me to be set up on my cell phone ,10657 - Bucharest - Romania,Security_UAA,3,25/02/2025 08:41,,4 - Low,Web Portal,07/03/2025 01:42,Workaround Provided – Confirmed,,,Waiting For Customer Response,Closed,,FALSE,Web Request,,Coaching,
INC7382680,25/02/2025 08:23,IN : AK : PH- Share drive : share drive access,10610 - Warwick - United Kingdom,SERVICEDESK_INDIA,0,25/02/2025 08:23,,4 - Low,Drive Mapping,27/02/2025 10:52,Duplicate Incident,,,Attempting to reach End User,Autoclosed,,FALSE,Web Request,,Coaching,WARLTOFF0154
INC7382644,25/02/2025 08:03,IN: VB: PH: Power BI - About application POWER BI.,00202 - Blois - France,EUS_FR_00202,1,25/02/2025 08:03,,4 - Low,BI CoE Manage Access,25/02/2025 09:34,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,DLFJLT4S2
INC7382614,25/02/2025 07:59,IN : ND : PH : Cars - Passwored Reset- Mark.brophy@delphi.com,10610 - Warwick - United Kingdom,SERVICEDESK_INDIA,0,25/02/2025 07:59,,4 - Low,Cars Trintech,25/02/2025 09:05,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,PHINfo,,Coaching,WARLTOFF0035
INC7382520,25/02/2025 07:19,Unreliable or NO connection between Dell docking station USB C to Dell Latitue laptop USB C,00282 - Stonehouse - United Kingdom,SERVICEDESK_INDIA,0,25/02/2025 07:19,,4 - Low,,25/02/2025 07:20,Client Resolved,,,,Autoclosed,,FALSE,Web Request,,,
INC7382400,25/02/2025 06:44,IN : ND : PH : AD - password issues,10610 - Warwick - United Kingdom,SERVICEDESK_INDIA,0,25/02/2025 06:44,,4 - Low,Active Directory,25/02/2025 07:54,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Access/Lockout,WARLTOFF0154
INC7382386,25/02/2025 06:33,"IN: VB: SAP PH1 - Issue with Invoice IDocs Segment E1EDS01 Qualifier 005 ""Sales Tax Total"" is not populated despite Items having tax values in E1EP04 segments. ",10610 - Warwick - United Kingdom,SAP_PH1_ORDER_FULFILLMENT,1,25/02/2025 06:33,,4 - Low,Sales & Distribution PH1,25/02/2025 08:11,Client Resolved,,,,Closed,,FALSE,Web Request,,Error Message,Sales & Distribution PH1
INC7382372,25/02/2025 06:34,IN : AK : PH- AD : User contacted for account locked issue. ,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,25/02/2025 06:29,,4 - Low,Active Directory,25/02/2025 06:34,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Access/Lockout,Active Directory
INC7382341,25/02/2025 06:10,IN:RS:PH:AD-Password reset,00268 - Izmir - Turkey / ESBAS 3 (PT Phase 2),SERVICEDESK_INDIA,0,25/02/2025 06:10,,4 - Low,Active Directory,25/02/2025 07:46,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Access/Lockout,Active Directory
INC7382307,25/02/2025 05:49,IN : ND : PH : Clearquest- clearquest accounts locked. I can't login and without this account I can't working,00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1),SERVICEDESK_INDIA,0,25/02/2025 05:47,,4 - Low,ClearCase,25/02/2025 07:14,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Coaching,IZMLTOFF0213
INC7382277,25/02/2025 05:26,IN:BS:PH- AD- VPN password reset,10605 - Duesseldorf - Germany,SERVICEDESK_INDIA,0,25/02/2025 05:26,,4 - Low,Active Directory,25/02/2025 06:03,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,PHINfo,,Access/Lockout,DSDLTOFF0011
INC7382276,25/02/2025 05:26,IN:RS:PH:zscaler install,10610 - Warwick - United Kingdom,EUS_GB_10610,1,25/02/2025 05:26,,4 - Low,Laptop,25/02/2025 05:37,Workaround Provided – Confirmed,,,,Autoclosed,,FALSE,Web Request,,Error Message,WARLTOFF0156
INC7382275,25/02/2025 05:25,IN : ND : PH : Onsite - zscaler install,10610 - Warwick - United Kingdom,EUS_GB_10610,1,25/02/2025 05:25,,4 - Low,Laptop,25/02/2025 06:17,Workaround Provided – Confirmed,,,,Closed,,FALSE,Web Request,,Error Message,WARLTOFF00025
INC7382274,25/02/2025 05:25,IN : AK : PH- Software : Filezilla update,10610 - Warwick - United Kingdom,EUS_GB_10610,1,25/02/2025 05:25,,4 - Low,Laptop,25/02/2025 06:16,Workaround Provided – Confirmed,,,,Autoclosed,,FALSE,Web Request,,Error Message,WARLTOFF00018
INC7382273,25/02/2025 05:24,IN: VB: PH: Filexilla - filexilla update.,10610 - Warwick - United Kingdom,EUS_GB_10610,1,25/02/2025 05:24,,4 - Low,Laptop,25/02/2025 06:18,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,WARLTOFF0050
INC7382225,25/02/2025 05:12,IN:BS:PH- Network drive - cannot access file server,10610 - Warwick - United Kingdom,Security_UAA,1,25/02/2025 05:12,,4 - Low,Drive Mapping,27/02/2025 04:07,Resolved - Permanent Fix,,,Waiting For Customer Response,Autoclosed,,FALSE,Shoulder Tap,,Functionality Error,WARLTOFF00018
INC7382224,25/02/2025 05:32,IN : ND : PH :GES - Issue with  user ID  and password on GES page,10304 - Iasi - Romania,SERVICEDESK_INDIA,0,25/02/2025 05:06,,4 - Low,GES,03/03/2025 05:02,Three Strike Rule,,,Attempting to reach End User,Autoclosed,,FALSE,Phone,,Coaching,IASLTOFF00230
INC7382223,25/02/2025 05:06,IN : AK : PH- MFA : Mail Approval Issue,10304 - Iasi - Romania,EUS_RO_10304,1,25/02/2025 05:06,,4 - Low,Laptop,25/02/2025 06:12,Resolved - Permanent Fix,,,,Closed,,FALSE,Web Request,,Error Message,IASLTOFF0203
INC7382222,25/02/2025 05:04,IN: VB: PH: SAP - Locking PG1 users   - route inc to SapSecurityGlobalOperations <SapSecurityGlobalOperations@phinia.com>,10304 - Iasi - Romania,SAP_SECURITY,1,25/02/2025 05:04,,4 - Low,Security PN1,26/02/2025 04:49,Resolved - Permanent Fix,,,,Closed,,FALSE,Web Request,,Error Message,Security PN1
INC7382199,25/02/2025 04:59,IN : AK : PH- AD : Unable to login Delphi account. ,00202 - Blois - France,SERVICEDESK_INDIA,0,25/02/2025 04:59,,4 - Low,Active Directory,25/02/2025 05:22,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Access/Lockout,BLSLTOFF00202
INC7382198,25/02/2025 04:58,IN : ND : PH : Service Provider - Issue with Service Provider Onboarding ,10304 - Iasi - Romania,APP_ENT_SERVICENOW,1,25/02/2025 04:58,,4 - Low,Service Now,06/03/2025 02:09,Three Strike Rule,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Coaching / Other,ServiceNow_PHINIA
INC7382192,25/02/2025 04:44,IN:RS:PH:Edge copy/paste not allowed on non https,00202 - Blois - France,EUS_FR_00202,7,25/02/2025 04:44,,4 - Low,Microsoft Internet Explorer,05/03/2025 04:10,Advice Given,,,Attempting to reach End User,Autoclosed,,FALSE,Web Request,,Error Message,NLNHSRKP-AP102
INC7382153,25/02/2025 04:38,IN:RS:PH:AD-Password Reset,00282 - Stonehouse - United Kingdom,SERVICEDESK_INDIA,0,25/02/2025 04:32,,4 - Low,Active Directory,25/02/2025 04:50,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Access/Lockout,Active Directory
